VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,File,Correct,participant,Age,date,expName,psychopyVersion,OS,frameRate,Welcome0ContKey.keys,Welcome0ContKey.rt,key_resp.keys,key_resp.rt,WelcomeSound2ContKey.keys,WelcomeSound2ContKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,PracticeSoundKey.keys,PracticeSoundKey.corr,PracticeSoundKey.rt,SoundPracticeLoop.thisRepN,SoundPracticeLoop.thisTrialN,SoundPracticeLoop.thisN,SoundPracticeLoop.thisIndex,SoundPracticeLoop.ran,SoundMST_File,SoundCorrect,Correct2,SoundType,Trial,MSTSoundStrtKey.keys,MSTSoundStrtKey.rt,MSTSoundKey.keys,MSTSoundKey.corr,MSTSoundKey.rt,MSTSoundLoop.thisRepN,MSTSoundLoop.thisTrialN,MSTSoundLoop.thisN,MSTSoundLoop.thisIndex,MSTSoundLoop.ran,AttnCheck2Keys.keys,AttnCheck2Keys.rt,AttnCheck2Resp.text,SoundTask.thisRepN,SoundTask.thisTrialN,SoundTask.thisN,SoundTask.thisIndex,SoundTask.ran,Counterbalance.thisRepN,Counterbalance.thisTrialN,Counterbalance.thisN,Counterbalance.thisIndex,Counterbalance.ran,WordOrder,SoundOrder,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,Attn1ContKey.keys,Attn1ContKey.rt,AttnCheckResp.text,SyllblCheckContKey.keys,SyllblCheckContKey.rt,SyllblCheckResp.keys,SyllblCheckResp.corr,SyllblCheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Target,Word1,Word2,Word3,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,key_resp_4.keys,key_resp_4.rt,GuessSoundIntro2Cont.keys,GuessSoundIntro2Cont.rt,GSSubmit.keys,GSSubmit.rt,GSResponse.text,GuessSoundLoop.thisRepN,GuessSoundLoop.thisTrialN,GuessSoundLoop.thisN,GuessSoundLoop.thisIndex,GuessSoundLoop.ran,GS_File,GS_Type,ExitKey.keys,ExitKey.rt
space,4.100105,space,20.71882,1,0,5.77519,0,0,0,4,1,Headphone/t3_1.wav,3,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,1.560005,0,1,1,5,1,Headphone/t3_2.wav,3,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.537975,0,2,2,0,1,Headphone/t1_1.wav,1,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,1.686805,0,3,3,2,1,Headphone/t2_1.wav,2,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,1.47175,0,4,4,3,1,Headphone/t2_2.wav,2,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.218845,0,5,5,1,1,Headphone/t1_2.wav,1,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,space,15.14364,space,23.20444,space,18.20383,space,5.15334,2,1,12.470835,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,2,1,2.62373,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,1,1,0.417215,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5a9e9fc46219a30001f54994,63,2021-03-25_06h10.17.115,CombinedMST_OA,2020.2.10,MacIntel,60,,,,,,,,,2,1,1.20159,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
